# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 49246729955078
#
# Children      Self  Command          Shared Object          Symbol                                                   
# ........  ........  ...............  .....................  .........................................................
#
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] cpu_stopper_thread
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] enqueue_entity
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] enqueue_task
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] enqueue_task_fair
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  migration/11     [kernel.kallsyms]      [k] update_cfs_group
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] zs_shrinker_count
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] test_clear_page_writeback
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] end_page_writeback
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] update_numa_stats
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] vmpressure
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] clear_page_dirty_for_io
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] touch_softlockup_watchdog_sched
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] down_read
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] __do_sys_newfstatat
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] __x64_sys_newfstatat
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] kernfs_iop_getattr
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] vfs_getattr_nosec
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] vfs_statx
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __part_start_io_acct
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] disk_start_io_acct
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] uncharge_page
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __d_lookup_rcu
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] kthread_should_stop
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] pvclock_gtod_notify
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_nanosleep
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] common_nsleep
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] hrtimer_nanosleep
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] add_timer_on
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] pfn_pte
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] blk_queue_exit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __get_vma_policy
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] zs_page_migrate
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.7.0.1  [.] evbuffer_expand_fast_
     0.00%     0.00%  kworker/u97:8-e  [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __mod_lruvec_page_state
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __mod_lruvec_state
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] mutex_lock
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] update_load_avg
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] scheduler_tick
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] task_tick_fair
     0.00%     0.00%  top              [kernel.kallsyms]      [k] number
     0.00%     0.00%  top              [kernel.kallsyms]      [k] snprintf
     0.00%     0.00%  top              [kernel.kallsyms]      [k] vsnprintf
     0.00%     0.00%  top              [kernel.kallsyms]      [k] seq_put_decimal_ull_width
     0.00%     0.00%  top              [kernel.kallsyms]      [k] seq_put_decimal_ull
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] put_swap_page
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] _find_next_bit
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] cpumask_next
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_pmu_nop_void
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] mem_cgroup_wb_stats
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] wb_over_bg_thresh
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] copy_page
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] migrate_page
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] move_to_new_page
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] multi_cpu_stop
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] cpu_stopper_thread
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] stop_machine_yield
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.0
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] _raw_read_lock
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] vmacache_update
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] grab_cache_page_write_begin
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] pagecache_get_page
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] update_blocked_averages
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] run_rebalance_domains
     0.00%     0.00%  memtier_benchma  libc.so.6              [.] malloc
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] update_load_avg
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] __update_load_avg_se
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] ext4_inode_journal_mode
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __writeback_inodes_wb
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __writeback_single_inode
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] do_writepages
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] ext4_writepages
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] writeback_sb_inodes
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_cblist_dequeue
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] try_to_unmap_flush
     0.00%     0.00%  kworker/u97:8-e  [kernel.kallsyms]      [k] put_prev_task_fair
     0.00%     0.00%  kworker/u97:8-e  [kernel.kallsyms]      [k] _raw_spin_lock_irq
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rcu_segcblist_accelerate
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] select_task_rq_rt
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] get_swap_pages
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] _find_next_bit
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] __buffer_migrate_page.part.0
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] buffer_migrate_page_norefs
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] invalidate_bh_lrus
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] lockref_put_return
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] hrtimer_forward
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __ext4_journal_get_write_access
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] wake_all_kswapds
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] wakeup_kswapd
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_report_qs_rnp
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __task_rq_lock
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] cgroup_rstat_flush_locked
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] mem_cgroup_wb_stats
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] wb_over_bg_thresh
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] cpumask_next_and
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] __entry_text_start
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] native_flush_tlb_local
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] try_to_wake_up
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __blk_mq_delay_run_hw_queue
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __blk_mq_run_hw_queue
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_execute_rq_nowait
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_mq_run_hw_queue
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_mq_sched_insert_request
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] complete
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] queuecommand
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] scsi_queue_rq
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] swake_up_locked
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] wake_up_process
     0.00%     0.00%  kworker/10:2-mm  [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  kworker/10:2-mm  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  redis-server     libc.so.6              [.] 0x000000000019dbc1
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] __update_idle_core
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] pick_next_task_idle
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] vmstat_update
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] cpumask_any_but
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] sched_slice
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] i40e_service_timer
     0.00%     0.00%  bash             bash                   [.] set_job_control
     0.00%     0.00%  bash             [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] __cond_resched
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] arch_local_irq_enable
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] native_iret
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] hidraw_major+0x800000017fd4
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] task_numa_find_cpu
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] psi_group_change
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] psi_task_switch
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] native_sched_clock
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] balance_fair
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] newidle_balance
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] sched_clock_cpu
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  migration/15     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] __x64_sys_tgkill
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] do_send_sig_info
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] do_send_specific
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] do_tkill
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] rcu_all_qs
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  redis-server     redis-check-rdb        [.] call
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] ptep_clear_flush_young
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] free_unref_page_list
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] free_pages_and_swap_cache
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] release_pages
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] rcu_sched_clock_irq
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] do_user_addr_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] exc_page_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] handle_mm_fault
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] perf_event_task_tick
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] get_swap_device
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] __swap_duplicate
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] clear_page_erms
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] __blk_rq_map_sg
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] __blk_mq_try_issue_directly
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] __submit_bio
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] __writeback_inodes_wb
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] __writeback_single_inode
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] blk_flush_plug_list
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] blk_mq_flush_plug_list
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] blk_mq_sched_insert_requests
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] blk_mq_submit_bio
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] blk_mq_try_issue_list_directly
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] do_writepages
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] ext4_bio_write_page
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] ext4_writepages
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] mpage_submit_page
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] nvme_queue_rq
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] submit_bio
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] submit_bio_noacct
     0.00%     0.00%  kworker/u97:0-e  [kernel.kallsyms]      [k] writeback_sb_inodes
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] refill_obj_stock
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] __softirqentry_text_start
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] file_free_rcu
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] kmem_cache_free
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] memcg_slab_free_hook
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] obj_cgroup_uncharge
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] rcu_core
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] rcu_core_si
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] run_ksoftirqd
     0.00%     0.00%  ksoftirqd/27     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_pid_permission
     0.00%     0.00%  top              [kernel.kallsyms]      [k] inode_permission.part.0
     0.00%     0.00%  top              [kernel.kallsyms]      [k] link_path_walk.part.0
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] ___slab_alloc
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] update_group_capacity
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] ext4_orphan_add
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] ext4_truncate
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] put_dec_full8
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] rcu_core
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] rcu_core_si
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __remove_hrtimer
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] hrtimer_try_to_cancel.part.0
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] set_bloom_filter
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] update_group_capacity
     0.00%     0.00%  top              [kernel.kallsyms]      [k] kfree
     0.00%     0.00%  top              [kernel.kallsyms]      [k] ____fput
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __fput
     0.00%     0.00%  top              [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.00%     0.00%  top              [kernel.kallsyms]      [k] kvfree
     0.00%     0.00%  top              [kernel.kallsyms]      [k] single_release
     0.00%     0.00%  top              [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.00%     0.00%  top              [kernel.kallsyms]      [k] task_work_run
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] lru_add_drain_cpu
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] lru_add_drain
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] switch_fpu_return
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] put_prev_task_fair
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] __switch_to_xtra
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] __switch_to
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  kworker/32:2-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] cpumask_next_wrap
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] vmstat_update
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  redis-server     libjemalloc.so.2       [.] malloc_usable_size
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] update_dl_rq_load_avg
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_da_get_block_prep
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_block_write_begin
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] number
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] __irqentry_text_end
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] native_iret
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] inc_node_page_state
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] collect_percpu_times
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] psi_avgs_work
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/34:2-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] process_timeout
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] set_next_entity
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __lock_task_sighand
     0.00%     0.00%  kworker/6:1-mm_  [kernel.kallsyms]      [k] __switch_to_asm
     0.00%     0.00%  migration/41     [kernel.kallsyms]      [k] multi_cpu_stop
     0.00%     0.00%  migration/41     [kernel.kallsyms]      [k] cpu_stopper_thread
     0.00%     0.00%  migration/41     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/41     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/41     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __get_task_comm
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] lockref_get_not_dead
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_nomem
     0.00%     0.00%  memtier_benchma  memtier_benchmark      [.] _ZN9run_stats13update_get_opEP7timevaljjjj
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] add_mm_counter_fast
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] lock_page_memcg
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] get_timespec64
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] dput
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] iterate_groups
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] psi_task_switch
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_slot_free_notify
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] unlock_page_memcg
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] can_migrate_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __resolve_freq
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] cpufreq_driver_resolve_freq
     0.00%     0.00%  redis-server     libc.so.6              [.] 0x00000000001b24ed
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] __switch_to
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  migration/45     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __d_free
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] kthread_is_per_cpu
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] update_curr
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] dequeue_entity
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] dequeue_task
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] dequeue_task_fair
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] update_cfs_group
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] active_load_balance_cpu_stop
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] deactivate_task
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] dequeue_task_fair
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] update_rt_rq_load_avg
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] wake_q_add_safe
     0.00%     0.00%  kworker/27:2-mm  [kernel.kallsyms]      [k] collect_percpu_times
     0.00%     0.00%  kworker/27:2-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/27:2-mm  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/27:2-mm  [kernel.kallsyms]      [k] psi_avgs_work
